TÍTULO,FECHA,AUTOR,CONTENIDO,CATEGORÍA
La NASA ha pedido a SpaceX que construya una nave para destruir la Estación Espacial Internacional,2024-06-26T23:17:12Z,Matías S. Zavia,"La NASA ha seleccionado a SpaceX para la noble tarea de acabar con la Estación Espacial Internacional, uno de los mayores proyectos de cooperación entre países de la historia.
Un vehículo de desorbi… [+2407 chars]",Internacional
La situación del traje espacial de la ISS de la NASA se vuelve sombría,2024-06-26T17:25:00Z,Passant Rabie,"Dos astronautas de la NASA se estaban preparando para salir de la Estación Espacial Internacional (ISS) para un segundo intento de caminata espacial, pero fue nuevamente suspendida debido a un malfun… [+5474 chars]",Internacional
"Prefijo +39 en WhatsApp y llamadas: ten cuidado, responder puede abrirle la puerta a una estafa",2024-06-26T18:36:42Z,Marcos Merino,"En los últimos meses, ha habido un notable incremento en el número de personas que reciben llamadas telefónicas o comunicaciones de WhatsApp procedentes de números que comienzan con el prefijo intern… [+3790 chars]",Internacional
Collins Aerospace se retira del contrato para diseñar nuevos trajes espaciales para la NASA,2024-06-26T09:27:58Z,wicho@microsiervos.com (Wicho),"Por @Wicho 26 de Junio de 2024
En junio de 2022 la NASA anunció que había contratado el diseño y desarrollo de sus nuevos trajes espaciales a Axiom Space y a Collins Aerospace. Pero ahora Collins Ae… [+2073 chars]",Internacional
Tanques y militares armados toman la sede del Ejecutivo en Bolivia,2024-06-26T20:16:50Z,Agencias,"Varios tanques y militares fuertemente armados ocuparon este miércoles la plaza frente a la sede del Ejecutivo boliviano, después de que el Comandante General del Ejército, Juan José Zúñiga, amenazar… [+3765 chars]",Internacional
Grupos de derechos humanos piden a la Corte Penal Internacional investigar crímenes de lesa humanidad contra la presidenta de Perú y su Gobierno,2024-06-26T00:35:29Z,Rocío Muñoz-Ledo,"Adrianzén: La presidenta Boluarte desea que los hechos se esclarezcan 3:47
(CNN) -- Dos grupos de derechos humanos presentaron una comunicación a la Corte Penal Internacional en la que solicitan la … [+5727 chars]",Internacional
"El poeta sirio Adonis, premio Internacional Joan Margarit",2024-06-26T07:27:51Z,(abc),"El premio Internacional Joan Margarit de Poesía celebra su segunda edición con el anuncio del fallo del galardón, que ha recaído en el poeta sirio Ali Ahmad Said Esber, conocido por su seudónimo, Ado… [+3068 chars]",Internacional
"Cancillería de Bolivia llama a la comunidad internacional a respaldar a Arce ""legítimamente elegido""",2024-06-26T20:43:59Z,"RT en Español
 , RT en Español","El Ministerio de Relaciones Exteriores de Bolivia llamó a la comunidad internacional y al pueblo boliviano a respaldar al presidente de ese país, Luis Arce, ante el intento de golpe de Estado que se … [+1495 chars]",Internacional
NYT: La Administración Biden presionó para eliminar restricciones de edad para el cambio de sexo,2024-06-26T17:53:10Z,"RT en Español
 , RT en Español","Funcionarios de Salud de la Administración del presidente estadounidense, Joe Biden, habrían presionado a un grupo internacional de médicos para que elimine de sus directrices los límites de edad par… [+2366 chars]",Internacional
Usyk ya no es el campeón absoluto de los pesados: pierde uno de sus cuatro cinturones,2024-06-26T08:17:18Z,ANDRÉS GARCÍA,Se necesitaron 25 años para que el peso pesado contara con un campeón indiscutido. Desde que Lennox Lewis lo consiguiera en 1999 no había existido un púgil que se ciñera los cinturones de los cuatro … [+1266 chars],Internacional
"La inteligencia artificial tiene nombre de mujer. Entrevista con la doctora Nayat Sánchez-Pi, experta en IA",2024-06-26T15:30:01Z,Germán Padinger,"(CNN Español) -- Debido al creciente interés por la inteligencia artificial (IA), trama apasionante que bien parece sacada de una novela de Isaac Asimov, instrumento que ha cambiado nuestro modo de r… [+11426 chars]",Internacional
"Detienen al empresario del Medusa Beach Club, el bar que se desplomó y provocó la muerte de 4 personas",2024-06-26T12:48:23Z,Eduardo Colom,"Un mes y tres días después del trágico suceso, la Policía Nacional ha detenido este miércoles en Mallorca al responsable de la empresa que explotaba el Medusa Beach Club de Playa de Palma. El bar res… [+1977 chars]",Internacional
"""El resultadismo por bandera""",2024-06-26T11:53:39Z,ANDRÉS GARCÍA,El Comité Olímpico Español adoptó una norma para nominar a los abanderados en la que prima los resultados deportivos: calidad y cantidad de medallas olímpicas. Los más laureados y con mejor palmarés.… [+1651 chars],Internacional
Claramente la militarización es una estrategia fallida: Amnistía Internacional México,2024-06-26T17:07:10Z,Redacción AN / MMV,"“Claramente este país es mucho más inseguro de lo que era hace 18 años. Hay más asesinatos, más feminicidios, más asesinatos de periodistas y de personas defensoras de derechos humanos y muchísimas m… [+3593 chars]",Internacional
"Jessica Fuentes, nueva directora de Premios y Eventos en SCOPEN",2024-06-26T14:21:04Z,Redacción,Jessica se une al departamento de Premios y Eventos de SCOPEN en Madrid como directora del departamento.Jessica Fuentes se incorpora al equipo de Premios y Eventos de SCOPEN en sus oficinas centrales… [+2446 chars],Internacional
"Las dos batallas clave de los Tercios españoles, núcleo de un nuevo congreso internacional",2024-06-26T07:19:51Z,(abc),Fueron dos hechos que cambiaron la historia del Imperio español; ese en el que acabaría por no ponerse el sol. El 24 de febrero de 1525 arrancó la era del arcabuz rojigualdo tras aplastar a los genda… [+7564 chars],Internacional
"Marcus Cooper y Támara Echegoyen, los abanderados de los Juegos de París",2024-06-26T10:49:07Z,TOMÁS CAMPOS,"Támara Echegoyen y Marcus Cooper serán los abanderados españoles en los Juegos de París, tras ser aprobado en votación por la Junta de Federaciones Olímpicas a propuesta de Alejandro Blanco, presiden… [+1771 chars]",Internacional
El primer ministro holandés Mark Rutte será el próximo secretario general de la OTAN,2024-06-26T09:09:02Z,Melissa Velásquez Loaiza,"(CNN) -- El saliente primer ministro de Países Bajos, Mark Rutte, será el próximo secretario general de la OTAN, según ha anunciado este miércoles la Alianza.
Rutte reemplazará al actual jefe de la … [+1293 chars]",Internacional
La NASA anuncia que ha contactado con vida inteligente en el espacio tras confirmar que a tres de sus astronautas les han robado la cartera,2024-06-26T10:07:47Z,Javi Ramos,"Después de años de búsqueda, la NASA al fin ha anunciado que ha contactado con vida inteligente extraterrestre tras confirmarse que a tres de sus astronautas les han robado la cartera en el espacio. … [+1132 chars]",Internacional
"«Yo creo que el impacto es la verdadera tendencia del momento», T. Froes (Dentsu Creative Iberia)",2024-06-26T07:02:11Z,Antía Sacedón,"Entrevistamos a Tomás Froes, CEO de Dentsu Creative Portugal y máximo responsable de Dentsu Creative Iberia durante Cannes 2024 para hablar del lanzamiento de esta nueva agencia y reflexionar sobre l… [+3279 chars]",Internacional
LaLiga envía cartas exigiendo 450€ a quienes ven fútbol pirata por IPTV,2024-06-26T15:50:57Z,Ilan Cherre,"LaLiga lo tiene claro: todos aquellos que vean el fútbol de forma ilegal por IPTV tendrán que asumir responsabilidades legales y monetarias
En un esfuerzo contundente contra la piratería, LaLiga ha … [+2928 chars]",Internacional
"El presidente de Bolivia denuncia ""movilizaciones irregulares"" del ejército de su país mientras militares se despliegan en el centro de La Paz",2024-06-26T20:13:22Z,https://www.facebook.com/bbcnews,"Fuente de la imagen, Getty Images
Article information<ul><li>Author, Redacción</li><li>Role, BBC News Mundo</li><li></li></ul>
El presidente de Bolivia, Luis Arce, denunció este miércoles que se es… [+2020 chars]",Internacional
El Kremlin tacha de ‘absurda’ orden de arresto contra Shoigú y jefe del Estado Mayor ruso,2024-06-26T11:10:47Z,Redacción AN / MDS,"El Kremlin tachó hoy de “absurda” la orden de arresto de la Corte Penal Internacional (CPI) contra el exministro de Defensa ruso Serguéi Shoigú, y el actual jefe del Estado Mayor del Ejército, Valeri… [+1998 chars]",Internacional
"Emiten órdenes de arresto contra líderes rusos acusados de ""actos inhumanos""",2024-06-26T07:31:19Z,Imane Rachidi / Agencia EFE,"Tras la petición este martes del arresto del exministro ruso de Defensa Serguéi Shoigú, y el jefe del Estado Mayor, Valeri Guerásimov, aumentan a seis las órdenes de detención emitidas por la Corte P… [+4760 chars]",Internacional
El Tribunal Europeo considera a Rusia culpable de violaciones de los derechos humanos en la Crimea ocupada,2024-06-26T05:20:09Z,Julia Hernández,"(CNN) -- El Tribunal Europeo de Derechos Humanos (TEDH) ha declarado a Rusia culpable de violaciones sistemáticas de los derechos humanos desde que ocupó Crimea en febrero de 2014.
Es una victoria p… [+2701 chars]",Internacional
